排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Max_RPM_分數,Noise_Level_分數
57,聯力,UNI FAN SL Wireless LCD 120 積木扇(黑) 單顆裝,卡扣連接/厚30mm/三年保,408.65,408.35,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
58,聯力,UNI FAN SL Wireless LCD 120 積木扇(白) 單顆裝,卡扣連接/厚30mm/三年保,408.65,408.35,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
59,聯力,UNI FAN SL Wireless LCD 120 反向扇(黑) 單顆裝,卡扣連接/厚30mm/三年保,408.65,408.35,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
60,聯力,UNI FAN SL Wireless LCD 120 反向扇(白) 單顆裝,卡扣連接/厚30mm/三年保,408.65,408.35,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
61,貓頭鷹,Noctua NF-A12x25 PWM chromax.black.swap,12cm 效能風扇/磁浮軸承/三段可調轉速/工業級LCP塑料/厚30mm/六年保,404.65,404.35,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
62,COUGAR,Unity 360 ARGB 黑(反向) 一體式風扇,12cm 效能風扇/磁浮軸承/三段可調轉速/LCP塑料/厚30mm/六年保,398.8583333,398.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.125
63,COUGAR,Unity 360 ARGB 白(反向) 一體式風扇,效能扇/1800RPM/FDB軸/PWM可串接/10年保,398.8583333,398.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.125
64,COUGAR,Unity 360 ARGB 黑(正向) 一體式風扇,效能扇/1800RPM/FDB軸/PWM/10年保 買二送一(共三個),398.8166667,398.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
65,COUGAR,Unity 360 ARGB 白(正向) 一體式風扇,效能扇/1800RPM/FDB軸/PWM可串接/10年保,398.8166667,398.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
66,幾何未來,Squama 龍鱗 2503W(白) 12cm風扇,效能扇/1800RPM/FDB軸/PWM/10年保 買二送一(共三個),398.8166667,398.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
67,Apexgaming,A-Cool 無雙 12,效能扇/A.RGB/1800RPM/FDB軸/PWM可串接,398.8166667,398.5166667,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
68,貓頭鷹,Noctua NF-A12x25 G2 PWM,效能扇/A.RGB/1800RPM/FDB軸/PWM可串接,398.025,397.6833333,0.016666667,0.016666667,0.016666667,0.166666667,0.125
69,貓頭鷹,Noctua NF-A12x25 PWM,12cm 風扇/A.RGB/1600RPM/PWM可串接/3年保,397.9833333,397.6833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
70,貓頭鷹,Noctua NF-A12x25 LS-PWM,12cm 風扇/A.RGB/1600RPM/PWM可串接/3年保,397.9833333,397.6833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
71,貓頭鷹,Noctua NF-A12x25 G2 LS-PWM,12cm 反向扇/A.RGB/PWM可串接/3年保 鏡之島推薦！,397.9833333,397.6833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
72,威剛,XPG HURRICANE 120 ARGB 風扇,12cm 反向扇/A.RGB/PWM可串接/3年保 鏡之島推薦！,397.15,396.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
73,威剛,XPG HURRICANE 120 ARGB(白) 風扇,7-Pin to PWM/ARGB(3-PIN) 訊號線,397.15,396.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
