排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Radiator_Size_分數,Thermal_Performance_分數,Noise_Level_分數,Fan_Performance_分數
81,聯力,HydroShift II LCD-C 360TL(白),幾何鏡射外殼/五代水泵/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
82,技嘉,AORUS WATERFORCE X II 240 鷹神二代,光環點陣螢幕/五代水泵/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
83,TRYX,Panorama SE 240 ARGB 黑,磁吸數位顯示/五代水泵/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
84,TRYX,Panorama SE 240 ARGB 白,磁吸數位顯示/五代水泵/厚:5.2cm/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
85,TRYX,Panorama 240 ARGB 黑,2.4吋液晶(3年)/六代水泵/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
86,TRYX,Panorama 240 ARGB 白,2.4吋液晶(3年)/六代水泵/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
87,喬思伯,TH-240 黑色版,2.8吋液晶/五代水泵/厚:5.2/5年【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
88,喬思伯,TH-240 白色版,無限鏡上蓋/加厚冷排風扇/厚:5.9cm/6年【XHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
89,利民,Frozen Warframe 240 BLACK ARGB,無限鏡上蓋/加厚冷排風扇/厚:5.9cm/6年【XHZ】,315.38125,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.09375
90,利民,Frozen Warframe 240 WHITE ARGB,3.5吋液晶/加厚冷排風扇/厚:5.9cm/6年【XHZ】,315.38125,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.09375
91,NZXT,Kraken Plus 240 黑 水冷,3.5吋液晶/加厚冷排風扇/厚:5.9cm/6年【XHZ】,315.38125,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.09375
92,NZXT,Kraken Plus 240 RGB 黑 水冷,2.8+1.44雙螢幕/內置VRM風扇/厚:5.9/6年【XHZ】,315.38125,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.09375
93,NZXT,Kraken Plus 240 RGB 白 水冷,2.8+1.44雙螢幕/內置VRM風扇/厚:5.9/6年【XHZ】,315.38125,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.09375
94,NZXT,Kraken Elite 240 RGB 黑(V2) 水冷,厚:5.2/S型雙腔冷頭/3年【WXHZ】,315.38125,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.09375
95,NZXT,Kraken Elite 240 RGB 白(V2) 水冷,厚:5.2/S型雙腔冷頭/3年【WXHZ】,315.38125,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.09375
96,NZXT,Kraken Elite 280 RGB 黑(V2) 水冷,厚:5.2/S型雙腔冷頭/3年【WXHZ】,315.38125,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.09375
97,NZXT,Kraken Elite 280 RGB 白(V2) 水冷,厚:5.2/S型雙腔冷頭/3年【WXHZ】,315.38125,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.09375
98,華碩,Prime LC 360 ARGB 水冷,厚:5.2/高光波紋漸變上蓋/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
99,華碩,Prime LC 360 ARGB 水冷(白),厚:5.2/高光波紋漸變上蓋/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
100,華碩,Prime LC 360 ARGB LCD 水冷,厚:5.2/高光波紋漸變上蓋/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
101,華碩,AYW GAMING LC 360 ARGB LCD(黑) 水冷,厚:5.2/高光波紋漸變上蓋/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
102,華碩,AYW GAMING LC 360 ARGB LCD(白) 水冷,點陣無限鏡冷頭/28mm風扇/厚:5.5/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
103,華碩,TUF GAMING LC III 360 ARGB(黑),點陣無限鏡冷頭/28mm風扇/厚:5.5/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
104,華碩,TUF GAMING LC III 360 ARGB(白),點陣無限鏡冷頭/28mm風扇/厚:5.5/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
