排名,BRAND,MODEL,總分,Price_分數,Capacity_分數,Read_Speed_分數,Write_Speed_分數,Warranty_分數,Interface_分數,NAND_Type_分數,DRAM_Cache_分數,Heat_Sink_分數,Performance_分數,Reliability_分數,Heat_Risk_分數
47,UMAX,M1500,-249.05092329545468,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
48,美光,Micron Crucial T705 ,-251.34001420454547,-590.02,0.02907670454545455,149.0909090909091,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
49,威剛,XPG S50 Core,-259.9127556818183,-620.44,0.0581534090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
50,宏碁,Acer RE100 ,-259.9127556818183,-620.44,0.0581534090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
51,三星,Samsung 980,-259.9127556818183,-620.44,0.0581534090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
52,WD,Blue SA510,-259.9127556818183,-620.44,0.0581534090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
53,威剛,Ultimate SU800,-259.9309375000001,-620.44,0.0581534090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
54,Biwin,佰維X570 PRO,-259.9309375000001,-620.44,0.0581534090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
55,金士頓,SKC600,-259.94140625000006,-620.44,0.02950284090909091,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
56,美光,Micron Crucial BX500,-259.9418323863637,-620.44,0.02907670454545455,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
57,宏碁,Acer Predator GM9,-259.9418323863637,-620.44,0.02907670454545455,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
58,宏碁,Acer Predator GM9000,-259.9418323863637,-620.44,0.02907670454545455,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
59,三星,Samsung 870 EVO,-259.9418323863637,-620.44,0.02907670454545455,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
60,十銓,T-Force Vulcan Z 火神Z,-259.9418323863637,-620.44,0.02907670454545455,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
61,Biwin,佰維 X570,-259.9418323863637,-620.44,0.02907670454545455,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
62,Biwin,佰維 M350,-259.9418323863637,-620.44,0.02907670454545455,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
63,Biwin,佰維 NV7400,-259.9418323863637,-620.44,0.02907670454545455,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
64,美光,Micron Crucial P3,-259.96001420454553,-620.44,0.02907670454545455,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
65,宏碁,Acer Predator GM7000,-259.96001420454553,-620.44,0.02907670454545455,170.9090909090909,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
66,威剛,ADATA LEGEND 970pro,-274.4582102272728,-620.44,0.0581534090909091,156.36363636363635,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
67,技嘉,Gen3 2500E,-278.4745738636364,-522.62,0.0581534090909091,90.9090909090909,152.72727272727272,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
68,微星,SPATIUM M580 FROZR ,-281.7781960227273,-620.44,0.02907670454545455,149.0909090909091,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
69,威剛,ADATA LEGEND 710,-288.27457386363636,-532.42,0.0581534090909091,90.9090909090909,152.72727272727272,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
70,威剛,XPG MARS 980Blade,-296.3054687500001,-620.44,0.02907670454545455,156.36363636363635,167.27272727272725,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
71,三星,Samsung 9100 PRO,-369.00366477272735,-620.44,0.0581534090909091,105.45454545454545,145.45454545454544,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
72,SK,海力士 Platinum P51,-376.2945738636364,-620.44,0.0581534090909091,105.45454545454545,138.1818181818182,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
73,金士頓,FURY Renegade G5,-427.23274147727284,-620.44,0.02907670454545455,98.18181818181817,94.54545454545455,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
