排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Product_Type_分數,Compatibility_FormFactor_分數,Dual_Sided_Support_分數,Cooling_Performance_分數,Compatibility_分數
64,全漢,NP5 BLACK 散熱器/4導管(6mm),散熱器 /LGA3647 Square腳位/2U適用/TDP:205W/高6.4【客訂】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
65,全漢,NP5 WHITE ARGB 散熱器,散熱器 /LGA2011 / 2066 腳位/2U適用/TDP:165W/高6.45,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
66,全漢,MP7 BLACK 散熱器/6導管(6mm),散熱器 /LGA3647 Narrow腳位/2U適用/TDP:205W/高6.4【客訂】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
67,全漢,MP7 WHITE ARGB 散熱器,散熱器 /LGA4677 腳位/4U適用/TDP:270W/高12.6【客訂】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
68,喬思伯,PISA A5 灰,4導管/高4.8/3pin(5V)【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
69,喬思伯,PISA A5 白,4導管/高16/14cm風扇【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
70,喬思伯,CR1000 V2 PRO 黑,6導管/雙塔雙扇/高15.3/偏移不干涉【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
71,喬思伯,CR1000 V2 PRO 白,下吹式 散熱器/高度6cm/9.2cm風扇【Z】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
72,喬思伯,CR1400 DV2 黑,高度7cm/12cm風扇【Z】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
73,喬思伯,CR1400 DV2 白,黑化版/4導管/高13.6【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
74,喬思伯,CR3000 黑,4導管/高15.2/ARGB【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
75,喬思伯,CR3000 白,黑化版/4導管/高15.2【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
76,酷碼,NotePal U3 Plus【黑】,黑化版/4導管/高15.2/雙風扇【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
77,酷碼,NotePal X150,白化版/4導管/高15.4/自帶ARGB(可控)【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
78,酷碼,NotePal ErgoStand III,散熱器/6導管/雙塔雙扇/高15.5/自帶ARGB(可控)【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
79,Montech,Metal DT24 Base,黑化版/6導管/雙塔雙扇/高15.7/自帶ARGB(可控)【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
80,Montech,Metal DT24 Premium,白化版/6導管/雙塔雙扇/高15.7/自帶ARGB(可控)【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
81,COUGAR,FORZA 85,6導管/單塔雙扇/高15.9/偏移不干涉【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
82,利民,Peerless Assassin 120 Digital ARGB 黑,6導管/單塔雙扇/高15.9/偏移不干涉【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
83,利民,Peerless Assassin 120 Digital ARGB 白,4導管(6mm)/高15.4cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
84,利民,Peerless Assassin 140 黑化版,6導管(6mm)/高15.4cm/偏移不干涉【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
85,利民,Peerless Assassin 140 白化版,6導管/高15.4cm/偏移不干涉【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
86,利民,Phantom Spirit 120 EVO,單塔雙風扇/6導管/高15.4cm/白化版/A.RGB扇/偏移不干涉【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
87,利民,Frost Commander 140,6導管(6mm)/雙塔雙扇/高15.4cm/偏移不干涉【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
88,利民,Frost Commander 140 黑化版,下吹式/4導管/高3.9/回流焊工藝【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
89,利民,Frost Commander 140 白化版,下吹式/6導管/高6.7cm/12cm薄扇【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
90,九州風神,ASSASSIN IV 阿薩辛4 黑,TR4-SP3 /6導管/NF-A15 PWM風扇/六年保/高16.5【sTRX4/TR4】客訂,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
91,九州風神,ASSASSIN IV 阿薩辛4 白,TR5-SP6 /6導管/雙NF-A15 PWM風扇/六年保/高16.5【sTR5/SP6專用】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
92,銀欣,XE02-3647S,7導管/NF-A12X25 PWM風扇*2/高15.8【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
93,銀欣,XE02-3647N,黑化版/7導管/NF-A12X25風扇*2/高15.8【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
94,銀欣,XE04-4677,5導管/NF-F12 PWM風扇/六年保/高15.8【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
95,酷碼,Hyper 622 Halo Black,黑化版/5導管/NF-F12 PWM/六年保/高15.8【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
96,酷碼,Hyper 622 Halo White,6導管/NF-A15 PWM風扇/六年保/高16.5【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
97,酷碼,Hyper 612 APEX 黑 散熱器,5導管/NF-A12x25r PWM風扇/雙塔/非對稱式/六年保/高14.5【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
98,酷碼,Hyper 612 APEX 白 散熱器,6導管/NF-A15 PWM風扇/雙塔/非對稱式/六年保/高16【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
99,Scythe,無限6 雪彩版,黑化版 /6導管/雙塔/非對稱式/六年保/高16【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
100,Scythe,風魔3(SCFM-3000),6導管/NF-A15 PWM風扇*2/雙塔/六年保/高16.8【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
101,貓頭鷹,NH-U14S,黑化版 /6導管/NF-A15 PWM*2/雙塔/高16.8【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
102,貓頭鷹,NH-U12S,標準版/8導管/NF-A14x25r G2風扇*2/雙塔/六年保/高16.8【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
103,貓頭鷹,NH-U12S chromax.black,4導管/NF-A9 PWM風扇/支援3U/六年保/高11【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
104,貓頭鷹,NH-D12L,5導管/NF-A9 PWM風扇/六年保/高12.5【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
105,貓頭鷹,NH-D15S,NF-A9x14PWM扇/下吹式/六年保/高3.7/AM5專用【H】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
106,貓頭鷹,NH-D9L,黑化版/下吹式/六年保/高3.7/AM5專用【H】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
107,貓頭鷹,NH-U9S,NF-A9x14 HS-PWM/下吹式/六年/高3.7/Intel專用(1700)【Z】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
108,貓頭鷹,NH-L9a-AM5,黑化版 /下吹式/高3.7/Intel專用(1700)【Z】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
109,貓頭鷹,NH-L9a-AM5 chromax.black,NF-A9x14 PWM風扇/下吹式/六年/高6.5【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
