排名,BRAND,MODEL,detail,總分,price_分數,Wattage(W)_分數,Efficiency_分數,Connectors_分數,Compatibility_分數,FormFactor_分數,ATX_Version_分數
74,振華,LEADEX VII PRO 1000W,雙8/白金/全模組/4*PCIe 5.1/12年保(限220V H型插座),1027.142857,737.4285714,289.2857143,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
75,技嘉,AORUS ELITE 1000W,雙8/鈦金/全模組/PCIe 5.0/12年保,1027.142857,737.4285714,289.2857143,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
76,聯力,EDGE 1000W,雙8/鈦金/全模組/雙PCIe 5.0/12年保,1027.142857,737.4285714,289.2857143,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
77,全漢,金鋼彈 850W,雙8/銅牌/DC-DC/5年保固/3年換新/GPS-650FB A,1005.814286,737.4285714,267.8571429,0.085714286,0.042857143,0.114285714,0.142857143,0.142857143
78,華碩,ROG LOKI 850W,雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保,1005.771429,737.4285714,267.8571429,0.042857143,0.042857143,0.114285714,0.142857143,0.142857143
79,Apexgaming,KR-850MW(850W),雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保,1005.771429,737.4285714,267.8571429,0.042857143,0.042857143,0.114285714,0.142857143,0.142857143
80,酷碼,V SFX GOLD 850W,銅牌/主日系/DC-DC/5年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
81,華碩,TUF GAMING 850W,雙8/銅牌/主日系/DC-DC/5年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
82,海韻,CORE GX-850 ATX3(850W),雙8/銅牌/主日系/DC-DC/5年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
83,海韻,FOCUS GX-850 ATX3(850W),雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
84,保銳,Revolution D.F.12 850W,雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
85,Antec,GSK 850W,雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
86,全漢,HYDRO G PRO 850W,雙8/金牌/全模組/ATX3.1(PCIe 5.1)/全日系/10年,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
87,全漢,VITA GM 850W(,雙8/白金/全模組/ATX3.1(PCIe 5.0)/全日系/10年,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
88,全漢,VITA GM 850W,雙8/白金/全模組/ATX3.1(PCIe 5.0)/全日系/10年,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
89,XPG,CORE REACTOR II 850W,/銅牌/主日系/5年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
90,微星,MAG A850GL PCIE5 WHITE 850W(,雙8/金牌/全日系/LLC+DC-DC/5年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
91,微星,MAG A850GLS PCIE5 850W,雙8/金牌/全日系/LLC+DC-DC/5年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
92,微星,MPG A850GS PCIE5 850W,雙8/金牌/全日系/LLC+DC-DC/5年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
93,技嘉,GP-UD850GM PG5 V2(850W),雙8/金牌/全模組/全日系/FDB軸承風扇/10年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
94,技嘉,GP-UD850GM PG5 V2 ICE(850W),雙8/金牌/全模組/全日系/FDB軸承風扇/10年保,1005.757143,737.4285714,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
95,華碩,ROG STRIX 850W,雙8/金牌/全模/ATX3.1(PCIe 5.1)/全日系/智慧停轉/10年,1005.714286,737.4285714,267.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
96,Montech,TITAN PLA 850W,雙8/金牌/全模/ATX3.1(PCIe 5.1)/全日系/智慧停轉/10年,1005.714286,737.4285714,267.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
97,銀欣,HELA 850R Platinum(850W),雙8/金牌/全模/ATX3.1(PCIe 5.1)/全日系/智慧停轉/10年,1005.714286,737.4285714,267.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
98,振華,LEADEX VII PRO 850W,雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/智慧停轉/10年,1005.714286,737.4285714,267.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
99,聯力,EDGE 850W,雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/智慧停轉/10年,1005.714286,737.4285714,267.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
100,美洲獅,COUGAR GEX PRO 850W,雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/智慧停轉/10年,994.1857143,725.8571429,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
101,Montech,TITAN GOLD 850W,雙8/金牌/全模/ATX3.0(PCIe 5.0)/全日系/智慧停轉/10年,994.1857143,725.8571429,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
102,銀欣,DA850R Gold(850W),白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/智慧停轉/10年,994.1857143,725.8571429,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
103,振華,COMBAT FG 850W,白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/智慧停轉/10年,994.1857143,725.8571429,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
104,全漢,金鋼彈 750W,白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/智慧停轉/10年,991.5285714,737.4285714,253.5714286,0.085714286,0.042857143,0.114285714,0.142857143,0.142857143
105,海韻,FOCUS GX-750 ATX3(750W),白色 雙8/白金/全模/ATX3.1(PCIe 5.1)/智慧停轉/10年,991.4714286,737.4285714,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
106,微星,MAG A750GLS PCIE5 750W,銅牌/5年保 (ST45SF.V3.0)【SFX規格】,991.4714286,737.4285714,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
107,Montech,TITAN PLA 750W,雙8/金牌/全模組/全日系/5年保【SFX規格】,991.4285714,737.4285714,253.5714286,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
108,Apexgaming,GTR Plus-1000M(1000W),銅牌/直出線/5年保(ET450-B),987,697.2857143,289.2857143,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
109,銀欣,SX700-G(700W),雙8/銅牌/直出線/扁平線/5年保(ET650-B),984.3285714,737.4285714,246.4285714,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
110,Apexgaming,KR-750M(750W),白 雙8/銅牌/直出線/扁平線/主日系/ATX3.1/5年保,979.9142857,725.8571429,253.5714286,0.042857143,0.042857143,0.114285714,0.142857143,0.142857143
111,華碩,ROG STRIX 750W,黑 雙8/銅牌/直出線/扁平線/主日系/ATX3.1/5年保,979.9,725.8571429,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
112,華碩,PRIME 850W,雙8/金牌/直出線/主日系/ATX3.1(PCIe 5.1)/5年,979.9,711.5714286,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
113,海韻,FOCUS GX-850(850W),雙8/金牌/直出線/主日系/ATX3.1(PCIe 5.1)/5年,979.9,711.5714286,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
114,酷碼,GX II GOLD 850W,雙8/金牌/直出線/主日系/ATX3.1(PCIe 5.1)/5年,979.9,711.5714286,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
115,曜越,Toughpower GF A3 850W,黑色 雙8/金牌/全模組/主日系/ATX3.0(PCIe 5.0)/5年,979.9,711.5714286,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
116,振華,LEADEX III 850W,白色 雙8/金牌/全模組/主日系/ATX3.0(PCIe 5.0)/5年,979.9,711.5714286,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
117,Antec,HCG1000(1000W),黑色 雙8/金牌/全模組/主日系/ATX3.0(PCIe 5.0)/5年,972.7571429,683,289.2857143,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
118,華碩,TUF GAMING 750W,白色 雙8/金牌/全模組/主日系/ATX3.0(PCIe 5.0)/5年,965.6142857,711.5714286,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
119,全漢,VITA GM 750W(,雙8/白金/全模組/全日系/ATX3.0(PCIe 5.0)/5年保,965.6142857,711.5714286,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
120,darkFlash,PMT850(850W),ATX3.1 白色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】,965.6142857,697.2857143,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
121,振華,COMBAT FG 750W,雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保【SFX規格】,964.1857143,710.1428571,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
122,海韻,CORE GX-750 ATX3(750W),E BRONZE V2 450W 銅牌/DC-DC+LLC/5年保/2020年版,951.3285714,697.2857143,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
123,技嘉,GP-UD750GM PG5 V2 ICE(750W),E GOLD V3 550W 黑色 雙8/金牌/直出線/ATX3.1/5年,951.3285714,697.2857143,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
124,XPG,CORE REACTOR II VE 850W,E GOLD V3 550W 白色 雙8/金牌/直出線/ATX3.1/5年,937.0428571,668.7142857,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
125,Montech,TITAN GOLD 750W,E GOLD V3 650W 黑色 雙8/金牌/直出線/ATX3.1/5年,937.0428571,683,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
126,XPG,CORE REACTOR II 750W,E GOLD V3 650W 白色 雙8/金牌/直出線/ATX3.1/5年,937.0428571,683,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
127,微星,MAG A850GL PCIE5 850W,E GOLD V3 750W 黑色 雙8/金牌/直出線/ATX3.1(PCIe 5.1)/5年,937.0428571,668.7142857,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
128,微星,MAG A650GLS PCIE5 650W,E GOLD V3 750W 白色 雙8/金牌/直出線/ATX3.1(PCIe 5.1)/5年,937.0428571,697.2857143,239.2857143,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
129,九州風神,PN850M WH(850W),E GOLD V3 850W 黑色 雙8/金牌/直出線/ATX3.1(PCIe 5.1)/5年,937.0428571,668.7142857,267.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
130,技嘉,GP-UD750GM PG5 V2(750W),E GOLD V3 850W 白色 雙8/金牌/直出線/ATX3.1(PCIe 5.1)/5年,937.0428571,683,253.5714286,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
131,全漢,HYDRO PTM PRO 1350W,雙8/金牌/全模組/ATX3.1(PCIe 5.1垂直線)/主日系/10年,927.1428571,737.4285714,189.2857143,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
